,source,target,retweetCount,hashtags
141,josejorgemonroy,barevalodeleon,0,[]
142,josejorgemonroy,guatemalagob,0,[]
143,josejorgemonroy,barevalodeleon,0,[]
144,vertical_dorsal,v_de_vengaza,0,[]
145,vertical_dorsal,barevalodeleon,0,[]
146,vertical_dorsal,felixsinexcusas,0,[]
147,billyc2023,elanalitico_3,0,[]
148,billyc2023,abner12a,0,[]
149,billyc2023,fjimenezmingob,0,[]
150,billyc2023,pncdeguatemala,0,[]
151,billyc2023,mingobguate,0,[]
152,billyc2023,dtransitopnc,0,[]
153,billyc2023,_spguatemala,0,[]
154,billyc2023,diariodeca,0,[]
155,billyc2023,agn_noticias,0,[]
156,billyc2023,radio_tgw,0,[]
157,billyc2023,guatemalagob,0,[]
158,billyc2023,barevalodeleon,0,[]
159,patrici07680625,benitoc67601310,0,[]
160,patrici07680625,elquenews,0,[]
161,patrici07680625,guatemalagob,0,[]
162,patrici07680625,barevalodeleon,0,[]
163,robertr02304443,mynor007,0,[]
164,robertr02304443,factor4_gt,0,[]
165,robertr02304443,barevalodeleon,0,[]
166,mys_servicios,barevalodeleon,0,[]
167,robertr02304443,gtj_uan,0,[]
168,robertr02304443,factor4_gt,0,[]
169,robertr02304443,barevalodeleon,0,[]
170,robertr02304443,muniguate,0,[]
171,robertr02304443,mariochiu2,0,[]
172,robertr02304443,factor4_gt,0,[]
173,robertr02304443,barevalodeleon,0,[]
174,robertr02304443,rquinonezl,0,[]
175,robertr02304443,muniguate,0,[]
176,fiona140816,pedgar05,0,[]
177,fiona140816,barevalodeleon,0,[]
178,robertr02304443,factor4_gt,0,[]
179,robertr02304443,barevalodeleon,0,[]
180,luiscor71885428,barevalodeleon,0,[]
181,robertfuentes3,ivanduque,0,[]
182,robertfuentes3,barevalodeleon,0,[]
183,cahevi9hotmail1,ivanduque,0,[]
184,cahevi9hotmail1,barevalodeleon,0,[]
185,luisgarciaestr5,pedgar05,0,[]
186,luisgarciaestr5,barevalodeleon,0,[]
187,johntellez13,ivanduque,0,[]
188,johntellez13,barevalodeleon,0,[]
189,billyc2023,erickdelcid77,0,[]
190,billyc2023,mendiamariela,0,[]
191,billyc2023,barevalodeleon,0,[]
192,billyc2023,drgiammattei,0,[]
193,billyc2023,statedept,0,[]
194,billyc2023,thelmaaldana,0,[]
