,source,target,retweetCount,hashtags
144,cubreserva,pattyo502,2,[]
145,cubreserva,conapgt,2,[]
146,cubreserva,marnguate,2,[]
147,cubreserva,guatevision_tv,2,[]
148,cubreserva,publinewsgt,2,[]
149,cubreserva,aztecanoticiagt,2,[]
150,cubreserva,ep_investiga,2,[]
151,cubreserva,vecinosz16,2,[]
152,cubreserva,luisvengt,2,[]
153,cubreserva,quorumgt,2,[]
154,cubreserva,tn23noticias,2,[]
155,cubreserva,traficogt,2,[]
156,cubreserva,karinapazgt,2,[]
157,cubreserva,josechic86,2,[]
158,cubreserva,samuel_pz,2,[]
159,cubreserva,mmendoza_gt,2,[]
160,cubreserva,telediariogt,2,[]
161,cubreserva,guatemalagob,2,[]
162,cubreserva,nilrilesor,2,[]
163,cubreserva,oco_motora,2,[]
164,cubreserva,alex_balsells,2,[]
165,cubreserva,lahoragt,2,[]
166,cubreserva,jlfont001,2,[]
167,cubreserva,jpdardon,2,[]
168,cubreserva,justiciayagt,2,[]
169,cubreserva,zoom_502gt,2,[]
170,cubreserva,plazapublicagt,2,[]
171,elmerlandazuri7,traficogt,0,[]
172,molinerosed,noti_atlantico,1,[]
173,molinerosed,muniguate,1,[]
174,molinerosed,bomberosmuni,1,[]
175,molinerosed,bvoluntariosgt,1,[]
176,molinerosed,telediariogt,1,[]
177,molinerosed,t13noticias,1,[]
178,molinerosed,traficogt,1,[]
179,jul_sando_1962,traficogt,0,[]
180,sonny_figueroa,muniguate,1126,[]
181,sonny_figueroa,rquinonezl,1126,[]
182,sonny_figueroa,muniguate,1126,[]
183,sonny_figueroa,bancoindustrial,1126,[]
184,eeliezer1985,amilcarmontejo,0,[]
185,eeliezer1985,muniguate,0,[]
186,eeliezer1985,traficogt,0,[]
187,eeliezer1985,dtransitopnc,0,[]
188,traficogt,partidoune,1,['MinisterioPúblicoGt']
189,traficogt,sandratorresgua,1,['MinisterioPúblicoGt']
190,traficogt,mpguatemala,1,['MinisterioPúblicoGt']
191,gigantedecolch,scpmuni,0,[]
192,gigantedecolch,soy_502,0,[]
193,gigantedecolch,traficogt,0,[]
194,gigantedecolch,soy_502,0,[]
