,source,target,retweetCount,hashtags
13933,alemarro1991,j_alexvaldez,0,[]
13934,alemarro1991,karinherreravp,0,[]
13935,doctor_stewie,barevalodeleon,0,[]
13936,vald22283,guatemalagob,0,[]
13937,vald22283,barevalodeleon,0,[]
13938,negrismr19,barevalodeleon,0,[]
13939,negrismr19,bancadasemilla,0,[]
13940,chocolateecurls,barevalodeleon,0,[]
13941,profjels,barevalodeleon,0,[]
13942,edgarju70173542,guate_opina,0,[]
13943,edgarju70173542,barevalodeleon,0,[]
13944,johnzooma32,jeshek_shlomo,0,[]
13945,johnzooma32,embcanguatemala,0,[]
13946,johnzooma32,usembassyguate,0,[]
13947,johnzooma32,statedept,0,[]
13948,johnzooma32,israelingt,0,[]
13949,johnzooma32,ywn,0,[]
13950,johnzooma32,vinnews,0,[]
13951,johnzooma32,kikarhashabat,0,[]
13952,johnzooma32,barevalodeleon,0,[]
13953,johnzooma32,realdonaldtrump,0,[]
13954,johnzooma32,aljazeeraworld,0,[]
13955,johnzooma32,reuters,0,[]
13956,johnzooma32,noti7guatemala,0,[]
13957,qiqefigue,guatemalagob,0,[]
13958,qiqefigue,barevalodeleon,0,[]
13959,alejan_rodr,barevalodeleon,0,[]
13960,qiqefigue,barevalodeleon,0,[]
13961,donaldoalvr,guatemalagob,0,[]
13962,donaldoalvr,barevalodeleon,0,[]
13963,donaldoalvr,barevalodeleon,0,[]
13964,donaldoalvr,drgiammattei,0,[]
13965,donaldoalvr,el_pais,0,[]
13966,_lisdal,viniciogutierr3,0,[]
13967,_lisdal,barevalodeleon,0,[]
13968,_lisdal,felixsinexcusas,0,[]
13969,juvaldez1,elquenews,0,[]
13970,juvaldez1,barevalodeleon,0,[]
13971,juvaldez1,fjimenezmingob,0,[]
13972,vivalatinenja,guatemalagob,0,['未成年者略取誘拐罪']
13973,vivalatinenja,barevalodeleon,0,['未成年者略取誘拐罪']
13974,mariamartaumaa1,royalvaradogt,3,[]
13975,mariamartaumaa1,barevalodeleon,3,[]
13976,juanparivera10,c_smaldonado,0,[]
13977,juanparivera10,el_pais,0,[]
13978,juanparivera10,barevalodeleon,0,[]
13979,krupp31416,jennteinforma,0,[]
13980,krupp31416,barevalodeleon,0,[]
13981,krupp31416,thelmaaldana,0,[]
13982,krupp31416,jennteinforma,0,[]
13983,manuhgth,guatemalagob,0,[]
13984,manuhgth,barevalodeleon,0,[]
13985,elojodelcerro,royalvaradogt,2,[]
13986,elojodelcerro,barevalodeleon,2,[]
13987,galindo_sa99840,elquenews,0,[]
